title,cleaned_description,cluster,topic
Lok Sabha Elections 2024 | Trinamool Goes To Poll Body Against Judge-Turned-BJP Candidate's Remarks,"TMC Writes To The EC: The Trinamool Congress on Friday wrote to the Election Commission demanding action against BJP candidate Abhijit Gangopadhyay over his ""misogynistic"" comments against West Bengal Chief Minister Mamata Banerjee.         ",63,2024 bjp candidate judge trinamool
"Amit Shah On Constitution: ""Had Mandate To Change Constitution In Last 10 Years, But...""","Union Home Minister Amit Shah has dismissed the Opposition's claims that the BJP wants to win more than 400 Lok Sabha seats to amend the Constitution. He said that the BJP had the mandate to make changes in the Constitution for the past decade but never did so.  In an interview with ANI, Mr Shah said that the party's aim to secure more than 400 seats is to bring stability to the country's political landscape.        ",64,bjp constitution said seats shah
"Putin In China, Kamala Harris Urges Indian-Americans To Run For Office, Other Top Stories","Russia and China have announced they will deepen their already close military ties, as Vladimir Putin continued his first visit to China after sweeping the elections. Meanwhile, after months of negotiations, Dutch ultranationalist Geert Wilders and his coalition partners have struck a deal to form the government. On the other hand, US Vice President Kamala Harris wants more Indian-Americans to take part in the electoral process as the community's representation in the government was not reflective of its growing population. For all the latest world news, analysis and updates, NDTV's new show The World 24X7 with Parmeshwar Bawa, is your one-stop shop.             ",65,americans china kamala putin world
"UK News | UK's Crackdown On Migration, What's Next? | India Global","Description: The UK government's Migration Advisory Committee reviewed the Graduate Route Visa saying that the visa, which allows international students to work in the country for at least two years after graduation, should remain in place. However, with Prime Minister Rishi Sunak cracking down on migration by introducing fresh guidelines that restrict foreign students and workers from bringing their families to the UK, it is unclear what is to be expected from the UK government on the Graduation Route Visa. NDTV hosts a panel to discuss this and more.          ",66,graduation migration students uk visa
Lok Sabha Elections 2024 | Battle For Amethi: BJP's Smriti Irani vs Congress's KL Sharma,"NDTV's 'Election Carnival', a special show for the 2024 Lok Sabha elections has reached Amethi in Uttar Pradesh. Sitting MP and Union Minister Smriti Irani will be contesting from the BJP. In a big surprise, the Congress chose to field Kishori Lal Sharma, a close aide of the Gandhi family from Amethi instead of Rahul Gandhi who lost the seat to Ms Irani in 2019. Rahul Gandhi will be contesting from Wayanad in Kerala and Raebareli in UP.           ",67,amethi contesting elections gandhi irani
Putin In China | Russian President Vladimir Putin In China On State Visit,"Russian President Vladimir Putin is in Beijing for his first visit to China of his new term. Putin is likely to prioritise countering the US's warnings to China over trade with his country at talks with President Xi Jinping. RT Correspondent Murad Gazdiev, in a chat with NDTV, sheds light on what this visit means.        ",68,china president putin visit vladimir
Lok Sabha Elections 2024 | NDTV Election Carnival In Uttar Pradesh’s Prayagraj,"The NDTV Election Carnival has reached Uttar Pradesh’s Prayagraj. Who will be the political king here, the BJP or the Congress, after the results of the Lok Sabha elections are out? Let us know what is the election atmosphere in the Sangam city and understand the issues and emotions of the people. Watch special episode.                    ",69,carnival election elections prayagraj sabha
Slovak Prime Minister Robert Fico | How Slovak PM's Bodyguards Swung Into Action After He Was Shot,"Slovak Prime Minister Robert Fico was shot and hospitalised after a cabinet meeting in the central town of Handlova today. Visuals of the aftermath of the attack show his bodyguards taking him inside his armoured limousine. The Dennik N daily, whose reporter saw the premier being lifted into a car by security guards, reported that the suspected gunman had been detained by police, news agency AFP reported.     Fico   ",70,bodyguards fico robert shot slovak
Swati Maliwal News | AAP vs BJP Over Swati Maliwal's Assault Allegation,"The BJP has intensified its attack on the AAP following allegations of assault made by AAP MP Swati Maliwal, with party members staging a protest. They demanded Chief Minister Arvind Kejriwal to speak on the issue. The Congress said Ms Maliwal needs to come forward and demand action.           ",71,aap assault bjp maliwal swati
PM Modi Roadshow | PM Modi Holds Mega Mumbai Roadshow Ahead Of Phase 5,"Prime Minister Narendra Modi held a roadshow in Mumbai on Wednesday. The city will vote in the next and fifth phase of the Lok Sabha elections, with which the polls in Maharashtra will come to an end. It's an election that has left everyone stumped as it's the first electoral test for the same but different parties that have emerged in the state with two NCP and two Shiv Sena factions.       ",72,modi mumbai phase pm roadshow
"Lok Sabha Elections 2024 | NDA Or INDIA Bloc, Who Has The Edge In The South?","Will BJP hold on to Karnataka? Can Congress sweep Telangana? Will Tamil Nadu and Kerala change narratives, and will the TDP help the NDA boost its chances in Andhra Pradesh? After the five southern states finish voting, we analyse the trends.          ",73,2024 nda tamil tdp telangana
"Amit Shah On PoK | Amit Shah's 'Big Statement' On Pok Amid Unrest In Pakistan: ""We Will Take It...""","While addressing a public meeting in West Bengal's Hooghly, Union Home Minister Amit Shah on May 15, asserted that the conditions in Jammu & Kashmir have changed under the leadership of Prime Minister Narendra Modi. During the address, he exuded confidence in recapturing the Pakistan-occupied Kashmir (POK) area.   ""When the INDI alliance was ruling, strikes used to happen in our part of Kashmir, see the effect of PM Modi, now, strikes happen in PoK. Earlier slogans of Azadi, stone pelting kind of things used to happen on our part, now it all happens in PoK... If 'Rahul Baba' and 'Mamata didi' are scared, let it be, PoK belongs to India and we will take it,"" said Amit Shah.          ",74,amit happen kashmir pok shah
Share Market Today | 'Normal Market Breather': Trust MF's Mihir Vora On Election Volatility,"Lok Sabha Elections 2024:  On the run up to the election season, investors are worrying and facing the brunt of the election volatility. Where should you place your bets and how to find your way around the market during the elections? Trust MF's Mihir Vora shares his insights          ",75,election market mihir volatility vora
"Mumbai Ghatkopar Billboard Collapse | Day After 14 Deaths, Blame Game Over Mumbai Billboard Collapse","A day after the deadly collapse of a 14,400 square foot billboard in Mumbai's Ghatkopar - 14 people were killed and 74 others injured after the creaking 100-foot metal structure, buffeted by strong winds, fell on and crushed a petrol station - the human cost of the tragedy has been underlined. Family members of those who were crushed spoke to NDTV Tuesday morning, explaining how and why their loved ones were at the scene of the disaster - whether as staff at the petrol station or customers.         ",76,14 billboard collapse day mumbai
Andhra Pradesh Polling News | Clashes Turn Violent In Andhra Pradesh On Polling Day,"Lok Sabha Election 2024 Phase 4: A clash between supporters of the Telugu Desam Party and the ruling YSR Congress disrupted polling at a booth in Andhra Pradesh today. The police had to use rubber bullets to calm down the crowd at the polling center in Narasaropet municipal high school, Palnadu district. Sources said the TDP activists were allegedly blocked from entering the polling station by the YSRCP supporters, leading to violence.  The TDP's MLA candidate Chadalavada Aravind Babu was reportedly attacked during the confrontation, and vehicles belonging to TDP supporters were damaged. Both parties blamed each other for the violence.        ",77,andhra polling pradesh supporters tdp
"'Saare Jahan Se Achha' Plays At White House, Pani Puri Served To Guests","A group of musicians playing Muhammad Iqbal's legendary song  Saare Jahan Se Achha in the corridors and stewards serving pani puris in the lawns is how the White House celebrated the Asian American, Native Hawaiian, and Pacific Islander (AA and NHPI) Heritage Month on Monday.          ",78,achha jahan saare se white
"Priyanka Gandhi News | Priyanka Gandhi Takes A Swipe At PM Modi, Calls Him  'Inaccessible' To Poor","Amethi Latest News: Congress leader Priyanka Gandhi Vadra took a swipe at PM Modi on the day of his filing nomination from Varansi. She called PM Modi 'Inaccessible' to the poor. ""Modi ji is the MP from Varanasi, I can challenge if anyone can tell if he visited anybody’s house in Varanasi. He did a road show yesterday, in a big car surrounded by security on both sides waving his hands, the people on the other side. What will he know about your problems, he’s already cut off, he’s only seen with the rich, never took the pain of understanding your problems,"" she said           ",79,gandhi modi news pm priyanka
Kangana Ranaut Nomination | BJP's Mandi Candidate Kangana Ranaut Holds Roadshow Ahead Of Nomination,Kangana Ranaut Roadshow: BJP Candidate From Mandi Lok Sabha Seat Kangana Ranaut Holds Roadshow Ahead Of Filing Nomination Papers. Mandi Lok Sabha constituency will go to polls in the 7th and the last phase of Lok Sabha Elections. The date of voting is 1 June.             ,80,kangana lok ranaut roadshow sabha
"PM Modi News | Ahead Of PM's Nomination, 'Modi Mania' On Streets Of Varanasi","Prime Minister Narendra Modi will file his nomination from the Varanasi Lok Sabha seat today in Uttar Pradesh. Before filing the papers, the PM will offer prayers at Dashwamedh Ghat and will take a dip in the River Ganga. Ahead of filing the nomination, NDTV spoke with people on the ground in Varanasi to gauge the mood in the city.          ",81,filing modi nomination pm varanasi
"Nawaz Sharif | Pak PM Shehbaz Sharif Resigns As His Party's Chief, Nawaz Sharif Set To Assume Role","Pakistan's Prime Minister Shehbaz Sharif has stepped down as Pakistan Muslim League-Nawaz (PML-N) president, paving the way for his elder brother, Nawaz Sharif, to once again become the party president. Meanwhile, the situation remains tense in the PoK as strikes continue. Director of South Asia Institute, Wilson Center, Michael Kugelman joins NDTV's Parmeshwar Bawa to discuss what this means for India.   He says Nawaz's comeback could work in favour of India as he had called for peaceful relations with New Delhi. Mr Kugelman says Pakistan wouldn't want to deal with a crisis with India owing to an ongoing internal turmoil.           ",82,india nawaz pakistan party sharif
Russia Defence Minister | Putin's New War Weapon: An Economist Managing The Military,"To Russia's President Vladimir Putin, appointing a new defence minister provides a new building block toward fighting a long war. That was evident in Moscow when Andrei R Belousov, the economist who was Mr Putin's surprise pick to lead Russia's sprawling defence ministry, made his first public appearance in his new role and spoke about bureaucracy rather than the battlefield. NDTV's Parmeshwar Bawa reports.          ",83,defence minister new putin russia
"Sushil Kumar Modi | Sushil Modi, Ex Deputy Chief Minister Of Bihar, Dies At 72",Senior BJP leader Sushil Modi died at Delhi's All-India Institute of Medical Sciences this evening. The 72-year-old was battling cancer and was admitted in the intensive care unit of AIIMS for the last one month..   KumarModi    ,84,72 modi sciences senior sushil
"Madhavi Latha | Huge Row Over BJP's Madhavi Latha's ID Check, Andhra MLA's Poll Booth Slapgate","Madhavi Latha, BJP's firebrand candidate from Hyderabad, faces a police case after a video showed her asking burqa-clad Muslim women at a polling booth to reveal their faces so that she can match them with the photographs on their voter ID cards. Meanwhile, another controversy has sparked in Andhra Pradesh where YSRCP MLA from Tenali was caught on camera slapping and getting into a brawl with a voter at a polling booth in Tenali. The MLA later claimed that the voter was inebriated and had used casteist remarks against him. However, other reports suggest that the argument broke out when the voter insisted on the MLA not breaking the queue and waiting for his turn to cast his vote.                          ",85,booth latha madhavi mla voter
"Maharashtra Politics | BJP's State-In-Charge Dinesh Sharma: ""Modi Magic Will Work In Maharashtra""","Former Uttar Pradesh deputy Chief Minister and Dinesh Sharma, who is the BJP's in charge for Maharashtra speaks to NDTV, on the prospects of the Mahayuti.   # DineshSharma        ",86,bjp charge dinesh maharashtra sharma
Amit Shah Latest News | Amit Shah On Foreign Influence On Indian Elections,"On opposition leaders’ statements, questions about Pakistan and Pakistan-Occupied Kashmir, and attempts of foreign influence on Indian elections, Home Minister Amit Shah believes, “The people of this country are mature enough to know the reality, despite what you channel, or I, or opposition say- they can see the reality.” NDTV Exclusive with Vikar Bhadauria.   Watch the full interview here: https://youtu.be/yoE7z8ulBB8                  ",87,amit indian influence opposition shah
"PoK Protests | Protests in Pakistan-Occupied Kashmir Turn Violent, 1 Dead, 100 Injured","PoK protest video | Violent clashes broke out between protesters and security forces in Pakistan-occupied Kashmir (PoK) on 12th May, killing 1 police officer and injuring 100 people. The violence followed several days of peaceful protests against high taxes, electricity bills and rising inflation. Pakistan Prime Minister Shehbaz Sharif has condemned the violence, urging his officials to negotiate with protesters. The Pakistani government convened a meeting on Sunday to address the situation.        ",88,100 pakistan pok protesters protests
Varanasi Lok Sabha Elections | PM Modi's Massive Roadshow In Varanasi Day Before Filing Nomination,"Varanasi turned out in its festive best as Prime Minister Narendra Modi held a mega roadshow this evening in the constituency from where he is seeking a third term. The snaking lanes of the country's oldest city saw around a hundred stages built over a 6-km stretch. As his convoy rolled through the roads that turned a sea of saffron with millions of buntings and cutouts, cultural programmes were held on the stages and slogans in support of the VIP candidate rang out.          ",89,held modi roadshow stages varanasi
"Amit Shah Attacks Naveen Patnaik | ""Rampant Corruption In Odisha"": HM Amit Shah's Dig At BJD","The ruling BJD in Odisha and BJP have been exchanging verbal attacks this week, especially after PM Modi claimed Chief Minister Naveen Patnaik’s ‘loot’ mentality has hampered growth in the state. In NDTV Exclusive, Home Minister Amit Shah claims the people of Odisha are of the inept Patnaik-led government and rampant corruption. Odisha has simultaneous polls this year; to elect Lok Sabha members as well as a new state government.  Watch the full interview here: https://youtu.be/yoE7z8ulBB8                      ",90,amit naveen odisha patnaik shah
"Voting Phase 4 News | ""Vote To Contribute To Viksit Bharat,"" Appeals BJP’s Madhavi Latha","It’s the responsibility of every citizen to vote because it brings two changes – development and an opportunity to change the lives of the downtrodden, said Madhavi Latha, BJP candidate from Hyderabad against AIMIM’s Asaduddin Owaisi.                     ",91,aimim bjp latha madhavi vote
Amit Shah Latest | Amit Shah's Five Questions To Rahul Gandhi,Home Minister Amit Shah on Saturday attacked Rahul Gandhi at his rally in Raebareli.                       ,92,amit attacked gandhi rahul shah
Lok Sabha Elections 2024: The Battle For Odisha - Will PM Modi Breach Naveen Patnaik's Fortress?,"In Odisha, elections to the assembly and 21 Lok Sabha seats will be held in the final four of the seven general election phases. Four Lok Sabha seats in southern and western parts—Kalahandi, Koraput, Nabarangpur and Berhampur — and 28 assembly seats under these parliamentary segments will vote on Monday while the stage for one of the fiercest battles between the former ally BJP and BJD. NDTV's Ratnadip Choudhury caught up with a group of citizens from Bhubaneswar where polling would take place on May 25.                        ",93,assembly elections lok sabha seats
"Cash Seized In Telangana | Ahead Of Polls, Cash Seized In Telangana, Maharashtra","As Telangana and Maharashtra are going to polls tomorrow, cash seizures have been made in the states. Around Rs 88 lakh was seized in Telangana, and over Rs 39 lakh in Maharashtra.       ",94,cash lakh maharashtra seized telangana
Arvind Kejriwal Roadshow | Arvind Kejriwal Leads Mega AAP Roadshow Day After Release From Jail,"Delhi Chief Minister Arvind Kejriwal, along with his Punjab counterpart Bhagwant Mann, held as mega roadshow in the city in support of AAP South Delhi Lok Sabha candidate Sahiram Pahalwan. Delhi will vote on all 7 parliamentary seats on May 25th.  Arvind Kejriwal was released from Delhi's Tihar Jail Friday evening - 50 days after he was jailed on corruption charges linked to the alleged liquor policy scam and hours after the Supreme Court granted bail till June 1.          ",95,aap arvind delhi kejriwal roadshow
"Arvind Kejriwal Latest News | Kejriwal: ""If INDIA Bloc Wins, Will Give Full Statehood To Delhi""","After coming out of jail, Aam Aadmi Party chief and Delhi Chief Minister Arvind Kejriwal said if the INDIA coalition government is formed at the centre, we will give full statehood to Delhi  ""BJP's seats are decreasing in Delhi, Bihar, Karnataka, Maharashtra, Haryana, Rajasthan, West Bengal and Jharkhand, BJP will not be able to cross the figure above 220,"" said Mr Kejriwal.            ",96,delhi india kejriwal said statehood
"Arvind Kejriwal Roadshow | Kejriwal To BJP After Age Dig At PM: ""Who Is Your PM Candidate?""","Aam Aadmi Party chief and Delhi Chief Minister Arvind Kejriwal made a direct attack at the BJP and said that our ""country is going through dictatorship, we have to save the country"".  ""In BJP, (PM) Modi ji himself had made a rule that people of 75 years of age will be retired, next year Modi ji will turn 75, so I want to ask BJP, who is your Prime Ministerial candidate?"" he said.           ",97,75 bjp kejriwal pm said
"Lok Sabha Elections Chandra Sekhar, TDP's Guntur Pick, Is Richest Candidate In Lok Sabha Polls","In Andhra Pradesh's Guntur, an NRI doctor fielded by the Telugu Desam Party (TDP) has been making headlines for being the richest candidate in this Lok Sabha Election. Chandra Sekhar Pemmasani has declared assets amounting to over Rs 2,400 crore, while his wife has a net worth of more than Rs 2,300 crore.         ",98,crore guntur lok richest sabha
"PM Modi | PM On Congress Leader's ""Atom Bomb"" Remark: ""Pak Trying To Sell Bombs, But...""","Prime Minister Narendra Modi slammed Congress leader Mani Shankar Aiyar for his 'Pakistan has atom bomb' remark and accused the party of finding ways of scaring the people of India. While addressing a public meeting in Odisha's Kandhamal, PM Modi also took a jab at Pakistan's poor economic condition. ""Time and again Congress tries to scare its own country. They talk about Pakistan's bombs, but the condition of Pakistan is such that they don't know how to keep them. They are looking for buyers to sell their bombs but no one wants to buy them as people know about the poor quality,"" he said.         ",99,bombs congress modi pakistan pm
"Rahul Gandhi Live Today | Rahul Gandhi, Akhilesh Yadav Hold INDIA Bloc Rally In UP's Kannauj",Congress leader Rahul Gandhi joined Samajwadi Party chief and INDIA ally Akhilesh Yadav for a poll rally in Uttar Pradesh's Kannauj. The two leaders hit out at the ruling BJP and alleged that no development had taken place under the BJP in Kannauj. Mr Gandhi said that the BJP was scared of the INDIA alliance and the constitution was the biggest poll issue this Lok Sabha elections.            ,100,bjp gandhi india kannauj rahul
"India At UN | At UN, India Votes In Favour Of Palestine's Bid To Become Full Member","India on Friday voted in favour of a draft UN General Assembly resolution that said Palestine is qualified and should be admitted as full member of the United Nations and recommended that the Security Council ""reconsider"" the matter ""favourably"".        ",101,favour india member palestine united
Mallikarjun Kharge | Poll Body Warns Congress Chief M Kharge On Voter Data. Will Opposition Accept?,"Reacting strongly to Mallikarjun Kharge's letter to INDIA allies alleging discrepancies in voter turnout data and stating that the credibility of the Election Commission of India is at ""an all-time low"", the poll panel has accused the Congress president of making baseless allegations to ""create confusion, misdirection and impediments in the conduct of free and fair polls"".      $loksabhaelections2024,  ",102,data kharge mallikarjun poll voter
Kejriwal Bail News | Arvind Kejriwal's Lawyer On Supreme Court's Conditions For His Interim Bail,"Arvind Kejriwal Latest Bail News: In a major relief, the Supreme Court has given Delhi Chief Minister Arvind Kejriwal interim bail till June 1, the final phase of voting for the seven-stage 2024 Lok Sabha election. The Aam Aadmi Party leader - arrested by the Enforcement Directorate on March 21 in the alleged Delhi liquor excise policy scam - must surrender to the prison authorities by June 2.             ",103,arvind bail interim june kejriwal
"Indians In Iran Ship | 5 Indian Sailors On Ship Seized By Iran Released, Departed For India","In a diplomatic breakthrough, five of the Indian sailors on board an Israeli-linked vessel seized by Tehran were released on Thursday and have departed from Iran, the Indian embassy in Iran said.        ",104,departed indian iran seized ship
Lok Sabha Election 2024 | NDTV Election Carnival From Hyderabad's Heart - Charminar,"NDTV's election carnival has reached the city of Nizam, Biryani and Kebabs - Hyderabad. NDTV's Marya Shakil and Uma Sudhir spoke to BJP, Congress, AIMIM and BRS leaders and opened the platform to the common people and they tried to measure the pulse of Hyderabad. It's a two-way fight between veteran AIMIM leader Asaduddin Owaisi and BJP's first-timer Madhavi Latha. Can Mr Owaisi retain his bastion? Watch the full episode on NDTV.                    ",105,aimim election hyderabad ndtv owaisi
"Haryana Political Crisis | Dushyant Chautala, Who Sought Haryana Test Of Strength, Faces Trouble","Dushyant Chautala, the friend-turned-foe of the BJP who is out to fell the government, should guard his flock, sources have indicated. As efforts are on to bring a no-confidence motion against the Nayab Singh Saini government after three Independent MLAs pulled support from the BJP, a handful of Mr Chautala's MLAs met the former BJP Chief Minister Manohar Lal Khattar this afternoon, sources said. The meeting took place at the residence of Minister of State Mahipal Dhanda in Panipat. Four MLAs of the Jannayak Janta Party or JJP were present for the half-hour meeting with Mr Khattar and Mr Dhanda, held around 2 pm.                ",106,bjp chautala government mlas mr
"US Restricts Intel, Qualcomm From Selling Some Chips To China's Huawei","The US has revoked licenses allowing Huawei to buy semiconductors from Qualcomm and Intel, further tightening export restrictions against the Chinese telecom equipment maker.         ",107,allowing huawei intel qualcomm semiconductors
India Maldives Relations | Maldives Foreign Minister In India On Official Visit Amid Strained Ties,"India Maldives Relations: Amid a diplomatic standoff, Maldives Foreign Minister Moosa Zameer has arrived in New Delhi on an official visit to discuss bilateral ties between the two countries. He is set to meet External Affairs Minister S Jaishankar. NDTV's Mohammed Ghazali sheds light on the possible outcomes of this key visit.          ",108,foreign india maldives minister visit
"From Split Spine To Stand-Up, Sweta Mantrii's Journey","A split spine or Spina Bifida could have been a hindrance, generally. But Sweta Mantrii converted it into a muse, a rung. She makes jokes around her disability to convey the message of inclusivity.      ",109,mantrii spina spine split sweta
Israel Attack On Rafah | Joe Biden Warns He Could Cease Arms Supplies If Israel Attacks Rafah,President Joe Biden has said that the US will not supply Israel with American weapons if Prime Minister Benjamin Netanyahu orders an offensive on the city of Rafah in the southern Gaza Strip. NDTV's Mohammed Ghazali elaborates on what Biden's remark means.          ,110,american biden israel joe rafah
"Bengal Governor Molestation Case | The Biggest Stories Of May 8, 2024","Bengal Governor CV Ananda Bose, in the backdrop of sexual harassment allegations against him, has declared that he would allow the public to see the video footage of the concerned day ""but not Chief Minister Mamata Banerjee or her police"".  The Raj Bhavan handle today posted a statement titled ""Sach ke Saamne Programme"" that said the Governor has launched the programme to counter ""mischievous and fabricated allegations by the police"" that the Raj Bhavan is not sparing the footage.         ",111,allegations bengal bhavan footage governor
Israel Hamas War Update | Why Has Israel Launched Rafah Offensive Despite US Objection? Rafah Attack,"Gaza News Today | Israel bombarded Rafah on Wednesday and the military said ground troops conducted ""targeted raids"" in the southern Gazan city, as negotiations to halt the seven-month war resumed in Cairo, news agency AFP reported.  Israel has defied international objections and sent tanks into Rafah, which is crowded with Palestinian civilians sheltering near the Egyptian border, seizing on Tuesday a crossing that is the main conduit for aid into the besieged territory.               ",112,israel negotiations news rafah war
Air India Express News Today | Mass Sick Leaves Grounds Air India Express Flights,"A real crisis in Air India Express - over 90 flights were cancelled in less than 24 hours, after a large number of senior cabin crew called in sick, failed to turn up and many switched off their phones and thousands of passengers have been impacted. Meanwhile, the government wants the airline to resolve the crisis. In today's show of Left, Right & Centre, we look at the inside story.        ",113,air express india sick today
Haryana Political Crisis Explained | How Haryana Numbers Stack Up,"In the middle of the Lok Sabha election, dramatic developments have reduced the BJP-led state government to a minority in Haryana Assembly. The Congress is now racing against time to make the most of the situation and cobble together the numbers required to topple the Nayab Singh Saini government months before state polls.  Behind the crisis is the decision of three Independent MLAs to switch from the BJP camp to the Congress side last evening. MLAs Sombir Sangwan (Dadri), Randhir Singh Gollen (Pundri) and Dharampal Gonder (Nilokheri) announced their decision to withdraw support to the BJP government at a press meet in Rohtak yesterday. They were accompanied by Leader of the Opposition in the Assembly, Congress's Bhupinder Singh Hooda, and state Congress chief Udai Bhan.              ",114,bjp congress haryana singh state
Sam Pitroda Statement | Sam Pitroda Quits After Landing Congress In New Mess Over Racist Comments,"Sam Pitroda, veteran Congressman and the party's overseas unit chief, stepped down from the post this evening amid a huge political row over his controversial remarks that came amid the massive seven-phase election. Calling his comments racist, leaders of the BJP, including Prime Minister Narendra Modi, has accused the Congress of pursuing divisive practices.              ",115,amid comments pitroda racist sam
"West Bengal Politics | Adhir Ranjan Chowdhury: ""Mamata Banerjee Has Proved She Can’t Be Trusted""","Congress leader Adhir Ranjan Chowdhury in an interview with Press Trust Of India took a swipe at Trinamool Congress and alleged that the incumbent West Bengal government tries to drive a wedge between two communities. The leader of the opposition in Lok Sabha and five-time MP from Berhampore seat also said ""TMC has been exhausting all its resources to prove that this time candidate fielded by the ruling party ( TMC has placed former cricketer Yusuf Pathan from the  Berhampore seat ) should be given more preference because he belongs to minority community and I belong to Hindu community.""              ",116,adhir ranjan seat time tmc
"Arvind Kejriwal Latest News Today | Minister: ""Kejriwal's Arrest Gave AAP More Strength To Fight""","""The BJP used to think that after Arvind Kejriwal's arrest, they would break the legislators and finish the Aam Aadmi Party but their conspiracy failed due to AAP's unity,"" Delhi Minister Gopal Rai said.  ""Today, although the chief minister Kejriwal is in jail, the Aam Aadmi Party's election campaign is running strong in Delhi. We ran 'Door to Door' and 'Jail ka Jawab Vote se' campaigns in the first phase. In the second phase, 'Answer Jail with Votes Pledge Meeting', and in the third phase, Sunita Kejriwal conducted a roadshow, and there was a crowd and support in all three phases."" Now the fourth phase of the election campaign will start on May 13 and will be organized in 4 different places.        ",117,aadmi jail kejriwal minister phase
"India-Canada Ties | India Slams Canada Over Pro-Khalistan Rally: ""Glorification Of Violence...""","India on Tuesday again hit out at Canada over a parade by Ontario Gurdwara Committee that raised separatist slogans and floats, including an offensive one against Prime Minister Narendra Modi, urging Ottawa to ""stop providing criminal and secessionist elements a safe haven"". The latest reminder comes barely a week after New Delhi summoned Canada's Deputy High Commissioner over the Khalistan slogans raised at an event attended by their Prime Minister Justin Trudeau.  ""Celebration and glorification of violence should not be a part of any civilized society. Democratic countries which respect the rule of law should not allow intimidation by radical elements in the name of freedom of expression.          ",118,canada india minister raised violence
"Mayawati Drops Nephew, Political Heir Akash Anand, From Party Post","Bahujan Samaj Party chief Mayawati's nephew Akash Anand is no longer her political heir or the party's National Coordinator. The 29-year-old got sacked this evening, days after his comment comparing the BJP with Taliban. There is a hope of reprieve though, his aunt indicated.         ",119,akash anand heir party political
Bengal Voting News | Mango-Themed Voting Booth In West Bengal's Malda,"West Bengal's Malda is famous for its mango produce. A polling booth has been decked out with mango-themed installation art by the Election Commission of India. Voters here are being served a mango drink after voting, and there's also a mango-themed selfie booth at the polling station. This is in the Malda South constituency.                   ",120,bengal booth malda mango themed
Assam Voting News | Assam: Voters Turn Up Despite Rain And Thunder,"The battle is on for four out of 14 Lok Sabha seats in Assam as the voters enter the polling booths in the third phase of Lok Sabha elections 2024. The dynamics of voter demographics have changed after the 2023 delimitation exercise in Assam, changing hopes and strategies of contenders. Assam recorded over 60% voter turnout in the first and second phases.  NDTV’s Ratnadip Choudhury speaks with voters in Guwahati.                 ",121,assam lok sabha voter voters
"Lok Sabha Election Phase 3 Voting | 93 Seats In 11 States, Union Territories Vote In Phase 3 Today",LS Polls Phase 3 Voting Updates: Voting is on in 93 constituencies across 10 states and a Union Territory in the third phase today of the staggered seven-round Lok Sabha polls. The election in the Anantnag-Rajouri constituency in Jammu and Kashmir has been postponed to May 25.                   ,122,93 phase today union voting
"PM Modi Cast His Vote | PM Modi Votes In Ahmedabad, Huge Crowd Gathers Outside Voting Booth","Phase 3 voting today: PM Modi reached the polling station a little after 7:30 am. Union Minister Amit Shah welcomed him and the two leaders walked to the booth. Prime Minister Narendra Modi this morning cast his vote at a school in Ahmedabad during the third phase voting for the Lok Sabha polls. The Nishan Higher Secondary School in the city's Ranip locality has been designated a polling booth. The Prime Minister reached the polling station a little after 7:30 am. Union Minister Amit Shah welcomed him and the two leaders walked to the booth. A huge crowd that had gathered to catch a glimpse of PM Modi cheered from the roadside and raised slogans for him.  On his way to the voting booth, he gave his autograph to a supporter on a portrait that he had drawn of the Prime Minister.                      ",123,booth minister modi pm voting
Arvind Kejriwal | NIA Probe Against Kejriwal? Lt Governor's New Claim | The Biggest Stories Of May 6,"In an explosive turn of events Monday, Delhi Lieutenant Governor VK Saxena has called for an anti-terror probe into allegations Chief Minister Arvind Kejriwal received political funding from the banned Sikhs For Justice group founded by wanted terrorist Gurpatwant Pannun.         ",124,arvind governor kejriwal monday probe
Mullaperiyar Dam | Tamil Nadu vs Kerala Over Mullaperiyar Dam,Tamil Nadu has told the Supreme Court that Kerala was refusing to let it carry out routine maintenance work despite raising concerns over dam safety.         ,125,dam kerala mullaperiyar nadu tamil
"Gaza Israel War | Israel Rejects Gaza Truce Talks, Netanyahu Says Rafah Invasion Will Go Ahead","Hopes for a Gaza ceasefire appeared slim as Hamas reiterated its demand for an end to the war in exchange for the freeing of hostages. Meanwhile, Israeli Prime Minister Benjamin Netanyahu flatly rejected that, saying that would keep Hamas in power and pose a threat to Israel. NDTV's Mohammed Ghazali joins us live to report on the latest developments.          ",126,gaza hamas israel netanyahu war
Xi Jinping Europe Visit | Chinese President Xi Jinping Visits Europe After 5 Years,"Chinese President Xi Jinping arrived in France on Sunday to begin a three-nation trip to Europe. The trip is designed to bolster ties, even as trade tensions mount. Xi will head to Serbia - which isn't a member state of the bloc - and Hungary. NDTV'S Gaurie Dwivedi elaborates on this move by the Chinese President.          ",127,chinese europe jinping president xi
"PM Modi In Ayodhya | PM Modi Offers Prayers At Ram Mandir, 1st Since Grand January Event","Prime Minister Narendra Modi visited the Ram temple in Ayodhya on Sunday, his first visit since the temple inauguration in January. In a televised ceremony two days ahead of the third phase of the Lok Sabha elections, PM Modi was seen prostrating before the Ram Lalla idol.          ",128,ayodhya modi pm ram temple
