title,cleaned_description,cluster,topic
Amit Shah Interview | Amit Shah's Predictions Ahead Of Last Phase Of Lok Sabha Election,"The BJP is set to win most Lok Sabha seats in eastern and southern India this time, Union Home Minister Amit Shah has told NDTV in an exclusive interview. Mr Shah was speaking to NDTV's editor-in-chief Sanjay Pugalia on the campaign trail ahead of the last phase of the general election, scheduled to be held this Saturday.  Asked what are his expectations for Odisha, Andhra Pradesh and Telangana, Mr Shah replied, ""We will take a significant lead in Bengal too. We may win between 24 and 30 seats (out of 42). In Odisha, our target is 17 Lok Sabha seats (out of 21) and 75 Assembly seats (out of 147). In Telangana, we will win around 10 seats (out of 17). As for Andhra Pradesh, our alliance government is going to form the government and NDA is will win a big chunk of Lok Sabha seats too.""  Watch the full interview here: https://youtube.com/live/BWxhQFbCGtI                       ",12,lok sabha seats shah win
"Lok Sabha Elections | Poll Body Suspends Odisha Chief Minister's Aide For ""Interfering"" In Elections","With three more days to go for the final phase of polling in Odisha on June 1, the Election Commission of India (ECI) on Tuesday suspended IPS officer DS Kutey and ordered medical examination of another police service officer Asish Singh, who is on leave.        ",13,aide elections medical odisha officer
Lok Sabha Elections 2024 | Battle For Bengal: Can PM Modi Blitz Breach Mamata Banerjee's Citadel?,"Prime Minister Narendra Modi slammed the Trinamool Congress government in West Bengal and claimed it has ""no relation with good governance"" while alleging that Mamata Banerjee government is promoting a ""corrupt ecosystem"" with its politics revolving around ""vote bank politics."" The Prime Minister said Bengal is going to be the best performing state for the BJP in the country and the Trinamool is fighting for its existence in these elections. On LRC, a deep dive into the final phase in West Bengal and just what's at stake.            ",14,bengal mamata minister modi west
Anasuya Sengupta | 'The Shameless' Director To NDTV On Anasuya Sengupta's Historic Cannes Win,The Shameless filmmaker Konstantin Bojanov spoke to NDTV's Aarthi Kirushnan. He spoke about the process of casting and filming as well as the 12-year-journey behind the conceptualisation of the film. The Shameless  premiered at the 77th Cannes Film Festival this year. Anasuya Sengupta won the Best Actress Award at Cannes for the film.       ,15,anasuya cannes film sengupta shameless
Elon Musk's AI Startup xAI Raises $6 Billion in Bid to Challenge OpenAI,"Elon Musk's artificial intelligence startup xAI has raised $6 billion (roughly Rs. 49,857 crore) to accelerate its challenge to his former allies at OpenAI.         ",16,billion challenge musk openai xai
"PM Modi On Reservation | PM Says Reservation Key Issue Of 2024: ""Congress Minorities' Biggest Enemy""","Accusing the INDIA bloc of indulging in ""vote bank politics,"" Prime Minister Narendra Modi has criticised opposition parties for undermining the constitutional rights of Scheduled Castes (SC), Scheduled Tribes (ST), and Other Backward Classes (OBC), stating that these groups needed to be protected.  In an exclusive interview with ANI, Prime Minister Narendra Modi explained why reservation had become a crucial issue in the 2024 Lok Sabha elections, framing his narrative as a call to safeguard the constitutional principles and the rights of marginalised communities.       ",17,2024 issue modi narendra reservation
North Korea Japan News | North Korea Under Fire From Japan For Attempt To Launch Satellite,"North Korea has said its attempt to put a spy satellite into orbit failed when the rocket it was on exploded. Japan has condemned North Korea’s attempt, saying it violates UN Security Council resolutions.       ",18,attempt japan korea north satellite
"Telangana Phone Tapping Case | Top Headlines Of The Day: May 28, 2024","In an explosive revelation in the Telangana phone tapping and snooping row, ex-Deputy Commissioner of Police P Radhakrishna Rao has claimed devices belonging to media industry bigwigs, retired cops, and politicians (including from then-ruling BRS) were hacked and monitored. This was allegedly part of a well-funded and secretive team set up before the November state election to keep tabs on then Chief Minister K Chandrasekhar Rao's political rivals.  The snooping operation was supposed to create a dossier to manage possible threats; in a twist, Mr Rao's BRS was thumped by the Congress anyway, winning only 39 (down from 88 in 2018) of the state's 119 seats.           ",19,phone rao state tapping telangana
Lok Sabha Elections 2024 | Why So Few Women In Politics? | #NDTV18KaVote,Did you know that there are just 14% of women Lok Sabha members? NDTV’s Arun Singh speaks to young female students in Delhi about what they want politicians or those in power to do about it. You can upload your video message at bit.ly/3P3VpMH        ,20,14 lok sabha want women
Nirmala Sitharaman | Nirmala Sitharaman: Opposition Toolkit Has Been Activated To Deny BJP Victory,Nirmala Sitharaman to NDTV: Finance Minister Nirmala Sitharaman speaks to NDTV on a range of issues. From competitive populism to fiscal prudence to Rahul Gandhi's proposal to redistribute wealth and also share markets.          ,21,activated ndtv nirmala sitharaman toolkit
